estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,410,116,400,11.6619
121,414,119,404,10.198
120,418,121,409,9.05539
119,422,122,414,8.544
118,426,122,419,8.06226
117,430,121,424,7.2111
116,434,120,429,6.40312
115,438,120,434,6.40312
114,442,118,439,5
113,446,118,444,5.38516
112,450,116,449,4.12311
111,454,115,454,4
109,458,114,459,5.09902
107,462,113,464,6.32456
105,466,112,469,7.61577
103,470,110,474,8.06226
101,474,109,479,9.43398
99,478,107,484,10
97,482,105,489,10.6301
95,486,103,494,11.3137
93,490,100,499,11.4018
91,494,99,504,12.8062
89,498,96,509,13.0384
87,502,94,514,13.8924
85,506,92,519,14.7648
82,510,90,524,16.1245
79,514,87,528,16.1245
76,518,84,533,17
73,522,81,538,17.8885
70,526,78,542,17.8885
67,530,75,547,18.7883
64,534,72,551,18.7883
61,538,69,556,19.6977
58,542,66,560,19.6977
55,546,63,564,19.6977
52,550,60,568,19.6977
49,553,57,572,20.6155
46,556,54,576,21.5407
43,559,50,580,22.1359
39,562,47,584,23.4094
35,565,43,588,24.3516
31,568,39,592,25.2982
27,571,36,597,27.5136
23,574,32,601,28.4605
19,577,28,605,29.4109
15,580,25,610,31.6228
11,583,21,614,32.573
7,586,20,615,31.7805
