estimation.x,estimation.y,valification.x,valification.y,diff
128,215,128,215,0
132,238,128,239,4.12311
134,261,130,263,4.47214
134,284,130,287,5
132,307,129,311,5
129,330,127,335,5.38516
124,353,124,359,6
117,375,118,382,7.07107
108,397,112,405,8.94427
98,418,104,428,11.6619
93,441,100,440,7.07107
estimation.x,estimation.y,valification.x,valification.y,diff
128,215,128,215,0
132,238,128,239,4.12311
134,261,130,263,4.47214
134,284,130,287,5
132,307,129,311,5
129,330,127,335,5.38516
124,353,124,359,6
117,375,118,382,7.07107
108,397,112,405,8.94427
98,418,104,428,11.6619
93,441,100,440,7.07107
