estimation.x,estimation.y,valification.x,valification.y
189,244,189,244
187,274,188,274
182,303,188,304
174,332,182,333
162,360,199,357
148,386,188,385
131,411,200,358
111,434,225,343
89,455,222,372
65,473,237,397
6,4,210,408
-1,-1,206,437
7,5,229,455
-1,-1,200,463
-1,6,171,459
-1,-1,143,468
0,0,138,439
33,0,152,413
1,0,165,386
-1273311296,22027,151,413
0,0,136,438
33,0,121,463
estimation.x,estimation.y,valification.x,valification.y
189,244,189,244
187,274,188,274
182,303,188,304
174,332,182,333
162,360,199,357
148,386,188,385
131,411,200,358
111,434,225,343
89,455,222,372
65,473,237,397
6,4,210,408
-1,-1,206,437
7,5,229,455
-1,-1,200,463
-1,6,171,459
-1,-1,143,468
-1304383978,21889,138,439
33,0,152,413
1,0,165,386
-1303004512,21889,151,413
0,0,136,438
33,0,121,463
estimation.x,estimation.y,valification.x,valification.y
189,244,189,244
187,274,188,274
182,303,188,304
174,332,182,333
162,360,199,357
148,386,188,385
131,411,200,358
111,434,225,343
89,455,222,372
65,473,237,397
6,4,210,408
-1,-1,206,437
7,5,229,455
-1,-1,200,463
-1,6,171,459
-1,-1,143,468
2013015699,22100,138,439
81,0,152,413
0,0,165,386
0,0,151,413
0,0,136,438
-590979456,32689,121,463
