estimation.x,estimation.y,valification.x,valification.y,diff
129,222,129,222,0
128,233,117,219,17.8045
127,244,124,229,15.2971
125,255,124,241,14.0357
123,266,124,253,13.0384
120,277,122,265,12.1655
117,288,118,277,11.0454
113,299,115,289,10.198
109,310,110,301,9.05539
104,321,105,313,8.06226
99,331,100,324,7.07107
93,341,94,335,6.08276
87,351,88,346,5.09902
81,361,81,356,5
74,370,74,366,4
67,379,67,376,3
59,388,59,385,3
51,397,51,394,3
43,405,43,404,1
34,413,35,414,1.41421
25,420,27,424,4.47214
