estimation.x,estimation.y,valification.x,valification.y,diff
129,222,129,222,0
128,226,128,215,11
127,230,125,219,11.1803
126,234,120,219,16.1555
125,238,115,219,21.4709
124,242,120,220,22.3607
123,246,121,225,21.095
122,250,124,229,21.095
121,254,126,234,20.6155
120,258,126,239,19.9249
119,262,122,242,20.2237
118,266,126,245,22.4722
117,270,125,250,21.5407
116,274,124,255,20.6155
114,278,122,260,19.6977
112,282,122,265,19.7231
110,286,120,270,18.868
108,290,119,275,18.6011
106,294,118,280,18.4391
104,298,116,285,17.6918
102,302,115,290,17.6918
100,306,113,295,17.0294
98,310,111,300,16.4012
96,314,108,305,15
94,318,106,310,14.4222
92,322,104,315,13.8924
90,326,102,320,13.4164
87,330,100,325,13.9284
84,334,97,330,13.6015
81,338,94,335,13.3417
78,342,91,340,13.1529
75,346,88,345,13.0384
72,350,85,350,13
69,354,82,354,13
66,358,79,359,13.0384
63,361,76,363,13.1529
60,364,73,368,13.6015
57,367,70,372,13.9284
54,370,67,376,14.3178
51,373,63,380,13.8924
48,376,59,384,13.6015
44,379,56,388,15
40,382,53,392,16.4012
36,385,49,396,17.0294
32,388,46,400,18.4391
28,391,43,404,19.8494
24,394,39,408,20.5183
20,397,36,412,21.9317
16,400,33,416,23.3452
12,403,30,420,24.7588
8,406,27,424,26.1725
-1650635936,21941,24,428,1.65064e+09
