estimation.x,estimation.y,valification.x,valification.y,diff
122,403,122,403,0
120,427,120,428,1
116,450,117,452,2.23607
110,473,112,476,3.60555
102,495,104,499,4.47214
92,517,94,522,5.38516
85,540,85,545,5
76,562,69,564,7.28011
66,584,54,583,12.0416
54,605,39,602,15.2971
40,625,29,617,13.6015
estimation.x,estimation.y,valification.x,valification.y,diff
122,403,122,403,0
120,427,120,428,1
116,450,117,452,2.23607
110,473,112,476,3.60555
102,495,104,499,4.47214
92,517,94,522,5.38516
85,540,85,545,5
76,562,69,564,7.28011
66,584,54,583,12.0416
54,605,39,602,15.2971
40,625,29,617,13.6015
