estimation.x,estimation.y,valification.x,valification.y,diff
126,303,126,303,0
125,327,125,328,1
123,351,126,353,3.60555
121,375,126,378,5.83095
118,399,124,403,7.2111
114,423,120,428,7.81025
109,447,115,453,8.48528
104,471,108,477,7.2111
98,494,99,500,6.08276
91,517,94,524,7.61577
80,539,86,542,6.7082
estimation.x,estimation.y,valification.x,valification.y,diff
126,303,126,303,0
125,327,125,328,1
123,351,126,353,3.60555
121,375,126,378,5.83095
118,399,124,403,7.2111
114,423,120,428,7.81025
109,447,115,453,8.48528
104,471,108,477,7.2111
98,494,99,500,6.08276
91,517,94,524,7.61577
80,539,86,542,6.7082
