estimation.x,estimation.y,valification.x,valification.y,diff
129,221,129,221,0
128,225,124,215,10.7703
127,229,121,219,11.6619
126,233,116,219,17.2047
125,237,121,221,16.4924
124,241,124,225,16
123,245,126,230,15.2971
122,249,126,235,14.5602
121,253,125,240,13.6015
120,257,126,245,13.4164
119,261,125,250,12.53
118,265,124,255,11.6619
117,269,122,260,10.2956
116,273,122,265,10
114,277,120,270,9.21954
112,281,119,275,9.21954
110,285,118,280,9.43398
108,289,116,285,8.94427
106,293,115,290,9.48683
104,297,113,295,9.21954
102,301,111,300,9.05539
100,305,109,305,9
98,309,107,310,9.05539
96,313,104,315,8.24621
94,317,102,320,8.544
92,321,100,325,8.94427
90,325,98,330,9.43398
87,329,95,334,9.43398
84,333,92,339,10
81,337,89,344,10.6301
78,341,86,349,11.3137
75,345,83,354,12.0416
72,349,80,358,12.0416
69,353,77,362,12.0416
66,357,74,367,12.8062
63,361,71,371,12.8062
60,364,68,375,13.6015
57,367,64,379,13.8924
54,370,61,383,14.7648
51,373,58,387,15.6525
48,376,54,391,16.1555
44,379,50,395,17.088
40,382,47,399,18.3848
36,385,44,403,19.6977
32,388,41,407,21.0238
28,391,38,411,22.3607
24,394,34,415,23.2594
20,397,31,420,25.4951
16,400,27,424,26.4008
12,403,25,427,27.2947
