estimation.x,estimation.y,valification.x,valification.y,diff
129,221,129,221,0
128,232,117,219,17.0294
127,243,125,229,14.1421
125,254,124,241,13.0384
123,265,124,253,12.0416
120,276,122,265,11.1803
117,287,119,277,10.198
113,298,115,289,9.21954
109,309,110,301,8.06226
104,320,106,313,7.28011
99,330,101,324,6.32456
93,340,94,335,5.09902
87,350,88,346,4.12311
80,360,81,356,4.12311
73,369,74,367,2.23607
66,378,66,377,1
58,387,58,386,1
50,396,50,395,1
41,404,42,405,1.41421
32,412,34,415,3.60555
23,420,26,425,5.83095
