estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
132,241,127,242,5.09902
134,264,128,266,6.32456
134,287,126,290,8.544
132,310,121,314,11.7047
128,333,115,338,13.9284
122,355,107,361,16.1555
114,377,98,383,17.088
104,398,87,404,18.0278
92,418,76,426,17.8885
78,437,70,439,8.24621
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
132,241,127,242,5.09902
134,264,128,266,6.32456
134,287,126,290,8.544
132,310,121,314,11.7047
128,333,115,338,13.9284
122,355,107,361,16.1555
114,377,98,383,17.088
104,398,87,404,18.0278
92,418,76,426,17.8885
78,437,70,439,8.24621
