estimation.x,estimation.y,valification.x,valification.y
186,266,186,266
185,296,186,296
184,326,196,324
182,355,195,354
179,384,205,382
176,413,188,407
172,442,203,433
167,471,196,462
159,499,184,489
140,522,175,461
-1565064000,21857,160,486
