estimation.x,estimation.y,valification.x,valification.y
188,391,188,391
189,422,245,391
188,453,254,421
185,484,243,450
181,514,231,478
175,544,232,509
170,574,236,539
162,604,221,566
151,633,216,596
137,661,211,626
868810944,21964,180,624
868811136,21964,185,594
868811136,21964,170,621
68,21964,158,593
868811520,21964,172,565
868811520,21964,152,588
868811520,21964,141,617
81,0,136,647
estimation.x,estimation.y,valification.x,valification.y
188,391,188,391
189,422,245,391
188,453,254,421
185,484,243,450
181,514,231,478
175,544,232,509
170,574,236,539
162,604,221,566
151,633,216,596
137,661,211,626
-713213760,21939,180,624
-713213568,21939,185,594
-713213568,21939,170,621
68,21939,158,593
-713213184,21939,172,565
-713213184,21939,152,588
-713213184,21939,141,617
81,0,136,647
estimation.x,estimation.y,valification.x,valification.y
195,397,195,397
194,427,206,425
193,457,207,455
191,487,219,482
189,517,224,512
186,547,221,542
183,577,214,571
179,607,208,600
170,636,192,626
150,659,167,642
