estimation.x,estimation.y,valification.x,valification.y,diff
125,312,125,312,0
124,335,126,336,2.23607
122,358,127,360,5.38516
120,381,126,384,6.7082
117,404,124,408,8.06226
113,426,120,431,8.60233
108,448,115,454,9.21954
103,470,108,477,8.60233
97,492,99,499,7.28011
90,514,94,522,8.94427
80,535,85,544,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
125,312,125,312,0
124,335,126,336,2.23607
122,358,127,360,5.38516
120,381,126,384,6.7082
117,404,124,408,8.06226
113,426,120,431,8.60233
108,448,115,454,9.21954
103,470,108,477,8.60233
97,492,99,499,7.28011
90,514,94,522,8.94427
80,535,85,544,10.2956
