estimation.x,estimation.y,valification.x,valification.y,diff
128,214,128,214,0
130,237,126,238,4.12311
130,260,126,262,4.47214
128,283,122,286,6.7082
124,306,116,309,8.544
118,329,109,332,9.48683
110,351,99,354,11.4018
100,372,88,376,12.6491
88,392,75,397,13.9284
75,411,62,418,14.7648
60,429,54,432,6.7082
estimation.x,estimation.y,valification.x,valification.y,diff
128,214,128,214,0
130,237,126,238,4.12311
130,260,126,262,4.47214
128,283,122,286,6.7082
124,306,116,309,8.544
118,329,109,332,9.48683
110,351,99,354,11.4018
100,372,88,376,12.6491
88,392,75,397,13.9284
75,411,62,418,14.7648
60,429,54,432,6.7082
