estimation.x,estimation.y,valification.x,valification.y
138,392,138,392
137,415,139,415
136,438,139,438
134,461,138,461
132,484,134,484
129,507,130,507
126,530,127,530
122,553,121,553
113,575,112,574
100,595,97,592
