estimation.x,estimation.y,valification.x,valification.y,diff
126,312,126,312,0
125,324,114,309,18.6011
124,335,123,318,17.0294
122,346,124,330,16.1245
120,357,122,342,15.1327
117,368,120,354,14.3178
114,379,116,366,13.1529
110,390,114,378,12.6491
106,401,109,390,11.4018
101,412,104,402,10.4403
96,423,99,414,9.48683
90,433,94,425,8.94427
84,443,88,436,8.06226
77,453,81,446,8.06226
70,463,74,457,7.2111
63,472,67,467,6.40312
55,481,59,477,5.65685
47,490,51,486,5.65685
38,498,43,496,5.38516
29,506,35,505,6.08276
20,514,27,515,7.07107
