estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,222,124,218,5.65685
127,226,119,219,10.6301
126,230,114,219,16.2788
125,234,118,223,13.0384
124,238,123,226,12.0416
123,242,124,231,11.0454
122,246,126,236,10.7703
121,250,125,241,9.84886
120,254,126,246,10
119,258,124,251,8.60233
118,262,124,256,8.48528
117,266,122,261,7.07107
115,270,122,266,8.06226
113,274,120,271,7.61577
111,278,119,276,8.24621
109,282,118,281,9.05539
107,286,116,286,9
105,290,114,291,9.05539
103,294,112,296,9.21954
101,298,110,301,9.48683
99,302,108,306,9.84886
97,306,106,311,10.2956
95,310,104,316,10.8167
93,314,102,321,11.4018
91,318,99,326,11.3137
88,322,97,331,12.7279
85,326,94,336,13.4536
82,330,91,341,14.2127
79,334,88,345,14.2127
76,338,85,350,15
73,342,82,355,15.8114
70,346,79,360,16.6433
67,350,76,364,16.6433
64,354,73,368,16.6433
61,358,70,372,16.6433
58,362,67,376,16.6433
55,365,63,380,17
52,368,60,384,17.8885
49,371,57,388,18.7883
45,374,53,392,19.6977
41,377,50,396,21.0238
37,380,47,400,22.3607
33,383,43,404,23.2594
29,386,40,408,24.5967
25,389,37,412,25.9422
21,392,34,416,27.2947
17,395,31,420,28.6531
13,398,27,424,29.5296
9,401,25,428,31.3847
