estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,229,117,219,14.8661
127,240,123,230,10.7703
125,251,124,242,9.05539
123,262,124,254,8.06226
120,273,122,266,7.28011
117,284,118,278,6.08276
113,295,115,290,5.38516
109,306,110,301,5.09902
104,317,106,313,4.47214
99,328,101,324,4.47214
93,338,95,335,3.60555
87,348,88,345,3.16228
80,358,81,356,2.23607
73,368,74,367,1.41421
66,377,66,377,0
58,386,58,386,0
50,395,50,395,0
41,403,42,405,2.23607
32,411,34,415,4.47214
23,419,26,425,6.7082
