estimation.x,estimation.y,valification.x,valification.y
191,213,191,213
201,241,192,243
208,270,195,273
212,300,197,243
212,330,204,272
209,360,204,302
203,390,205,332
194,419,212,361
182,447,225,334
167,474,250,317
156905856,21990,256,347
0,0,247,376
156905729,21990,252,406
152197192,21990,242,434
0,0,215,447
156905728,21990,190,429
156905792,21990,197,458
81,0,186,430
0,0,171,457
estimation.x,estimation.y,valification.x,valification.y
199,213,199,213
197,243,196,243
192,273,197,273
184,302,201,243
172,330,203,273
157,357,199,303
140,382,192,332
120,405,221,324
98,426,238,349
73,445,229,378
-1491830272,21937,221,407
0,0,245,425
-1491830271,21937,218,438
-1494141928,21937,188,433
0,0,161,421
-1489038336,21937,169,392
-1489038208,21937,154,418
81,0,140,444
estimation.x,estimation.y,valification.x,valification.y
199,213,199,213
204,242,196,243
206,272,197,273
205,302,201,243
200,332,203,273
192,361,199,303
181,389,192,332
167,416,221,324
151,441,238,349
131,465,229,378
-1455733376,21952,221,407
0,0,245,425
-1455733503,21952,218,438
-1460794760,21952,188,433
0,0,161,421
-1455733504,21952,169,392
-1455733440,21952,154,418
81,0,140,444
