estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,329,1
124,352,126,354,2.82843
122,376,126,379,5
119,400,124,404,6.40312
116,424,121,429,7.07107
112,448,115,453,5.83095
108,472,108,477,5
103,496,97,500,7.2111
96,519,86,523,10.7703
82,539,79,540,3.16228
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,329,1
124,352,126,354,2.82843
122,376,126,379,5
119,400,124,404,6.40312
116,424,121,429,7.07107
112,448,115,453,5.83095
108,472,108,477,5
103,496,97,500,7.2111
96,519,86,523,10.7703
82,539,79,540,3.16228
