estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,410,117,401,10.2956
121,414,120,406,8.06226
120,418,121,411,7.07107
119,422,121,416,6.32456
118,426,121,421,5.83095
117,430,120,426,5
116,434,120,431,5
115,438,119,436,4.47214
114,442,118,441,4.12311
113,446,117,446,4
112,450,116,451,4.12311
111,454,114,456,3.60555
109,458,113,461,5
107,462,112,466,6.40312
105,466,111,471,7.81025
103,470,110,476,9.21954
101,474,108,481,9.89949
99,478,106,486,10.6301
97,482,104,491,11.4018
95,486,102,496,12.2066
93,490,100,501,13.0384
91,494,98,506,13.8924
89,498,96,511,14.7648
87,502,93,516,15.2315
85,506,91,521,16.1555
82,510,88,526,17.088
79,514,85,531,18.0278
76,518,82,536,18.9737
73,522,79,541,19.9249
70,526,76,545,19.9249
67,530,73,550,20.8806
64,534,70,554,20.8806
61,538,67,558,20.8806
58,542,64,562,20.8806
55,546,61,567,21.8403
52,550,58,571,21.8403
49,553,54,575,22.561
46,556,51,579,23.5372
43,559,47,583,24.3311
39,562,44,587,25.4951
35,565,40,591,26.4764
31,568,37,596,28.6356
27,571,33,600,29.6142
23,574,29,604,30.5941
19,577,26,608,31.7805
15,580,23,612,32.9848
11,583,20,614,32.28
