estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,418,121,418,1
121,429,120,430,1.41421
119,440,118,442,2.23607
117,451,115,454,3.60555
114,462,112,466,4.47214
111,473,109,478,5.38516
107,484,104,490,6.7082
103,495,99,502,8.06226
98,506,94,514,8.94427
93,517,89,525,8.94427
87,527,82,536,10.2956
81,537,75,547,11.6619
74,547,68,557,11.6619
67,557,61,567,11.6619
60,566,53,576,12.2066
52,575,45,585,12.2066
44,584,38,595,12.53
35,592,29,604,13.4164
26,600,21,614,14.8661
17,608,20,614,6.7082
