estimation.x,estimation.y,valification.x,valification.y
185,366,185,366
184,396,239,366
183,426,247,395
181,456,242,425
178,486,241,455
175,516,237,485
171,546,235,515
167,576,225,544
158,605,229,574
138,629,201,561
15605952,21856,205,531
15606144,21856,211,501
15606144,21856,215,471
68,21856,217,441
15606528,21856,214,471
15606528,21856,207,501
15606528,21856,203,531
81,0,196,561
0,0,185,589
0,0,155,585
0,0,147,615
estimation.x,estimation.y,valification.x,valification.y
185,366,185,366
184,396,239,366
183,426,247,395
181,456,242,425
178,486,241,455
175,516,237,485
171,546,235,515
167,576,225,544
158,605,229,574
138,629,201,561
643389632,22000,205,531
643389824,22000,211,501
643389824,22000,215,471
68,22000,217,441
643390208,22000,214,471
643390208,22000,207,501
643390208,22000,203,531
81,0,196,561
0,0,185,589
0,0,155,585
0,0,147,615
estimation.x,estimation.y,valification.x,valification.y
185,366,185,366
184,396,239,366
183,426,247,395
181,456,242,425
178,486,241,455
175,516,237,485
171,546,235,515
167,576,225,544
158,605,229,574
138,629,201,561
1138947264,21993,205,531
1138947456,21993,211,501
1138947456,21993,215,471
68,21993,217,441
1138947840,21993,214,471
1138947840,21993,207,501
1138947840,21993,203,531
1025,0,196,561
1138805840,21993,185,589
0,0,155,585
0,0,147,615
