estimation.x,estimation.y,valification.x,valification.y
188,417,188,417
187,448,251,417
184,478,239,445
180,508,235,475
175,538,231,505
166,567,232,536
153,595,230,566
137,621,215,593
117,645,203,621
94,666,174,631
1883887808,21876,184,602
1883888000,21876,170,629
1883888000,21876,142,640
68,21876,151,611
1883888384,21876,165,584
1883888384,21876,174,555
1883888384,21876,158,581
1025,0,143,608
0,0,139,638
-186368471,32687,124,665
estimation.x,estimation.y,valification.x,valification.y
188,417,188,417
187,448,251,417
184,478,239,445
180,508,235,475
175,538,231,505
166,567,232,536
153,595,230,566
137,621,215,593
117,645,203,621
94,666,174,631
43704512,22001,184,602
43704704,22001,170,629
43704704,22001,142,640
68,22001,151,611
43705088,22001,165,584
43705088,22001,174,555
43705088,22001,158,581
81,0,143,608
0,0,139,638
0,0,124,665
estimation.x,estimation.y,valification.x,valification.y
188,417,188,417
187,448,251,417
184,478,239,445
180,508,235,475
175,538,231,505
166,567,232,536
153,595,230,566
137,621,215,593
117,645,203,621
94,666,174,631
2135898304,21877,184,602
2135898496,21877,170,629
2135898496,21877,142,640
68,21877,151,611
2135898880,21877,165,584
2135898880,21877,174,555
2135898880,21877,158,581
33,0,143,608
1667462515,7566181,139,638
0,0,124,665
estimation.x,estimation.y,valification.x,valification.y
195,418,195,418
194,449,253,419
192,480,256,449
190,510,253,479
187,540,256,509
183,570,242,536
179,600,246,566
172,630,232,593
157,657,223,564
136,679,209,592
-8410944,21933,201,621
-8410752,21933,187,648
-8410752,21933,188,617
68,21933,175,645
-8410368,21933,151,665
