estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,313,121,309,5.65685
124,317,116,309,11.3137
123,321,111,309,16.9706
122,325,116,309,17.088
121,329,120,313,16.0312
120,333,123,318,15.2971
119,337,124,323,14.8661
118,341,124,328,14.3178
117,345,124,333,13.8924
116,349,123,338,13.0384
115,353,122,343,12.2066
114,357,121,348,11.4018
112,361,120,353,11.3137
110,365,118,358,10.6301
108,369,118,363,11.6619
106,373,116,368,11.1803
104,377,115,373,11.7047
102,381,114,378,12.3693
100,385,112,383,12.1655
98,389,110,388,12.0416
96,393,108,393,12
94,397,106,398,12.0416
92,401,104,403,12.1655
90,405,102,408,12.3693
88,409,100,413,12.6491
85,413,98,418,13.9284
82,417,95,423,14.3178
79,421,92,428,14.7648
76,425,90,433,16.1245
73,429,87,437,16.1245
70,433,84,441,16.1245
67,437,81,446,16.6433
64,441,78,451,17.2047
61,445,75,456,17.8045
58,449,72,460,17.8045
55,453,69,464,17.8045
52,457,66,468,17.8045
49,460,63,472,18.4391
45,463,60,476,19.8494
41,466,57,480,21.2603
37,469,53,484,21.9317
33,472,50,488,23.3452
29,475,46,492,24.0416
25,478,43,496,25.4558
21,481,39,500,26.1725
17,484,36,504,27.5862
13,487,33,508,29
9,490,29,512,29.7321
5,493,26,516,31.1448
1,496,23,520,32.5576
