estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,321,113,309,16.9706
124,333,123,318,15.0333
122,345,124,331,14.1421
120,357,122,343,14.1421
117,368,119,355,13.1529
114,379,116,367,12.1655
110,390,114,379,11.7047
106,401,109,390,11.4018
101,412,104,402,10.4403
96,423,99,414,9.48683
90,433,94,425,8.94427
84,443,88,436,8.06226
77,453,81,446,8.06226
70,463,74,457,7.2111
62,472,67,467,7.07107
54,481,59,477,6.40312
46,490,50,487,5
37,498,42,497,5.09902
28,506,34,507,6.08276
19,514,26,517,7.61577
