estimation.x,estimation.y,valification.x,valification.y,diff
126,312,126,312,0
125,316,134,306,13.4536
124,320,129,307,13.9284
123,324,124,307,17.0294
122,328,119,309,19.2354
121,332,114,309,24.0416
120,336,118,313,23.0868
119,340,122,316,24.1868
118,344,124,321,23.7697
117,348,120,324,24.1868
116,352,124,327,26.2488
115,356,124,332,25.632
114,360,123,337,24.6982
112,364,122,342,24.1661
110,368,121,347,23.7065
108,372,120,352,23.3238
106,376,119,357,23.0217
104,380,118,362,22.8035
102,384,116,367,22.0227
100,388,115,372,21.9317
98,392,114,377,21.9317
96,396,112,382,21.2603
94,400,110,387,20.6155
92,404,109,392,20.8087
90,408,106,397,19.4165
88,412,104,402,18.868
85,416,102,407,19.2354
82,420,100,412,19.6977
79,424,98,417,20.2485
76,428,96,422,20.8806
73,432,93,427,20.6155
70,436,90,432,20.3961
67,440,88,437,21.2132
64,444,85,441,21.2132
61,448,82,445,21.2132
58,452,79,450,21.095
55,456,76,455,21.0238
52,459,73,459,21
49,462,70,463,21.0238
46,465,67,468,21.2132
42,468,63,472,21.3776
38,471,60,477,22.8035
34,474,56,481,23.0868
30,477,53,485,24.3516
26,480,50,489,25.632
22,483,46,493,26
18,486,43,497,27.313
14,489,39,501,27.7308
10,492,36,505,29.0689
6,495,33,509,30.4138
2,498,29,513,30.8869
-430656768,22037,26,517,4.30657e+08
-430651008,22037,23,522,4.30651e+08
