estimation.x,estimation.y,valification.x,valification.y,diff
126,312,126,312,0
125,324,114,309,18.6011
124,335,123,317,18.0278
122,346,124,329,17.1172
120,357,122,341,16.1245
117,368,120,353,15.2971
114,379,117,365,14.3178
110,390,114,377,13.6015
106,401,110,389,12.6491
101,412,105,400,12.6491
96,423,100,412,11.7047
90,433,95,424,10.2956
84,443,88,435,8.94427
77,453,82,446,8.60233
70,463,75,456,8.60233
63,472,68,466,7.81025
55,481,61,476,7.81025
47,490,53,485,7.81025
38,498,45,494,8.06226
29,506,37,504,8.24621
20,514,29,513,9.05539
