estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,418,121,418,1
121,429,120,430,1.41421
119,440,118,442,2.23607
117,451,115,454,3.60555
114,462,112,466,4.47214
111,473,109,478,5.38516
107,484,104,490,6.7082
103,495,100,502,7.61577
98,506,95,513,7.61577
93,517,90,524,7.61577
87,527,84,535,8.544
81,537,77,545,8.94427
74,547,70,555,8.94427
67,557,63,565,8.94427
60,566,55,575,10.2956
52,575,47,584,10.2956
44,584,39,594,11.1803
35,592,31,604,12.6491
26,600,23,613,13.3417
17,608,20,616,8.544
