estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,410,115,401,11.4018
121,414,119,405,9.21954
120,418,121,410,8.06226
119,422,121,415,7.28011
118,426,121,420,6.7082
117,430,120,425,5.83095
116,434,120,430,5.65685
115,438,119,435,5
114,442,118,440,4.47214
113,446,117,445,4.12311
112,450,116,450,4
111,454,115,455,4.12311
109,458,114,460,5.38516
107,462,113,465,6.7082
105,466,111,470,7.2111
103,470,110,475,8.60233
101,474,108,480,9.21954
99,478,106,485,9.89949
97,482,104,490,10.6301
95,486,102,495,11.4018
93,490,100,500,12.2066
91,494,98,505,13.0384
89,498,96,510,13.8924
87,502,94,515,14.7648
85,506,92,520,15.6525
82,510,89,525,16.5529
79,514,86,530,17.4642
76,518,84,535,18.7883
73,522,81,539,18.7883
70,526,78,543,18.7883
67,530,75,548,19.6977
64,534,72,552,19.6977
61,538,69,556,19.6977
58,542,66,561,20.6155
55,546,63,565,20.6155
52,550,60,569,20.6155
49,553,57,573,21.5407
46,556,54,577,22.4722
43,559,50,581,23.0868
39,562,46,585,24.0416
35,565,43,589,25.2982
31,568,40,593,26.5707
27,571,37,597,27.8568
23,574,34,601,29.1548
19,577,30,604,29.1548
15,580,27,608,30.4631
11,583,24,612,31.7805
7,586,21,616,33.1059
3,589,20,616,31.9061
