estimation.x,estimation.y,valification.x,valification.y
191,290,191,290
196,320,255,285
199,350,253,315
200,380,251,345
199,410,261,373
196,440,250,401
191,470,255,431
185,499,244,459
177,528,250,488
173,558,240,516
-459668288,21982,232,487
-459668096,21982,219,460
-459668096,21982,213,489
68,21982,229,514
-459667712,21982,201,524
-459667712,21982,188,497
-459667712,21982,180,526
81,0,172,555
estimation.x,estimation.y,valification.x,valification.y
193,287,193,287
204,316,198,317
212,346,210,345
216,376,211,376
217,407,210,345
215,438,234,326
210,468,231,296
201,498,252,318
189,527,259,348
174,554,268,377
0,0,259,406
0,0,264,436
-212969983,32672,252,464
130255128,22043,261,493
0,0,245,519
0,0,215,525
176,0,196,501
145,0,177,526
