estimation.x,estimation.y,valification.x,valification.y
190,339,190,339
189,370,246,337
187,400,254,366
183,430,246,395
178,460,252,425
172,490,239,453
164,520,237,483
156,550,226,511
141,577,215,540
120,600,204,512
-133504960,21963,208,482
-133504960,21963,214,452
-133504960,21963,219,422
64,21963,213,452
-133505024,21963,206,482
-133505024,21963,198,512
-133505024,21963,188,541
81,0,174,568
0,0,144,575
0,0,129,602
estimation.x,estimation.y,valification.x,valification.y
190,339,190,339
189,370,246,337
187,400,254,366
183,430,246,395
178,460,252,425
172,490,239,453
164,520,237,483
156,550,226,511
141,577,215,540
120,600,204,512
445334720,22101,208,482
445334912,22101,214,452
445334912,22101,219,422
68,22101,213,452
445335296,22101,206,482
445335296,22101,198,512
445335296,22101,188,541
81,0,174,568
0,0,144,575
0,0,129,602
estimation.x,estimation.y,valification.x,valification.y
190,339,190,339
189,370,246,337
187,400,254,366
183,430,246,395
178,460,252,425
172,490,239,453
164,520,237,483
156,550,226,511
141,577,215,540
120,600,204,512
510613696,22016,208,482
510613888,22016,214,452
510613888,22016,219,422
68,22016,213,452
510614272,22016,206,482
510614272,22016,198,512
510614272,22016,188,541
81,0,174,568
0,0,144,575
0,0,129,602
estimation.x,estimation.y,valification.x,valification.y
190,339,190,339
189,370,246,337
187,400,254,366
183,430,246,395
178,460,252,425
172,490,239,453
164,520,237,483
156,550,226,511
141,577,215,540
120,600,204,512
-1192100672,21940,208,482
-1192100480,21940,214,452
-1192100480,21940,219,422
68,21940,213,452
-1192100096,21940,206,482
-1192100096,21940,198,512
-1192100096,21940,188,541
97,0,174,568
0,0,144,575
0,0,129,602
