estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,410,117,401,10.2956
121,414,120,405,9.05539
120,418,121,410,8.06226
119,422,121,415,7.28011
118,426,121,420,6.7082
117,430,120,425,5.83095
116,434,120,430,5.65685
115,438,119,435,5
114,442,118,440,4.47214
113,446,117,445,4.12311
112,450,116,450,4
111,454,115,455,4.12311
109,458,114,460,5.38516
107,462,113,465,6.7082
105,466,111,470,7.2111
103,470,110,475,8.60233
101,474,108,480,9.21954
99,478,106,485,9.89949
97,482,104,490,10.6301
95,486,102,495,11.4018
93,490,100,500,12.2066
91,494,98,505,13.0384
89,498,96,510,13.8924
87,502,94,515,14.7648
85,506,92,520,15.6525
82,510,89,524,15.6525
79,514,86,529,16.5529
76,518,84,534,17.8885
73,522,81,538,17.8885
70,526,78,542,17.8885
67,530,75,547,18.7883
64,534,72,551,18.7883
61,538,69,556,19.6977
58,542,66,560,19.6977
55,546,63,564,19.6977
52,550,60,569,20.6155
49,553,57,573,21.5407
46,556,53,577,22.1359
43,559,50,581,23.0868
39,562,46,585,24.0416
35,565,42,589,25
31,568,39,593,26.2488
27,571,36,597,27.5136
23,574,33,601,28.7924
19,577,29,605,29.7321
15,580,26,609,31.0161
11,583,22,613,31.9531
7,586,20,616,32.6956
