estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,418,121,418,1
121,430,120,430,1
119,441,118,442,1.41421
117,452,115,454,2.82843
114,463,112,466,3.60555
111,474,109,478,4.47214
107,485,104,490,5.83095
103,496,100,502,6.7082
98,507,95,513,6.7082
93,518,89,524,7.2111
87,528,83,535,8.06226
81,538,76,545,8.60233
74,548,69,556,9.43398
67,558,62,566,9.43398
60,567,54,576,10.8167
52,576,46,585,10.8167
44,585,38,594,10.8167
35,593,30,603,11.1803
26,601,22,613,12.6491
17,609,20,616,7.61577
