estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
125,328,126,304,24.0208
123,351,125,328,23.0868
121,374,126,352,22.561
118,397,126,376,22.4722
114,420,124,400,22.3607
109,443,120,424,21.9545
104,466,116,448,21.6333
98,489,110,472,20.8087
91,512,101,495,19.7231
94,535,94,519,16
2068666880,22094,86,542,2.06867e+09
estimation.x,estimation.y,valification.x,valification.y,diff
125,328,126,304,24.0208
123,351,125,328,23.0868
121,374,126,352,22.561
118,397,126,376,22.4722
114,420,124,400,22.3607
109,443,120,424,21.9545
104,466,116,448,21.6333
98,489,110,472,20.8087
91,512,101,495,19.7231
94,535,94,519,16
980,0,86,542,1045.47
estimation.x,estimation.y,valification.x,valification.y,diff
125,328,126,304,24.0208
123,351,125,328,23.0868
121,374,126,352,22.561
118,397,126,376,22.4722
114,420,124,400,22.3607
109,443,120,424,21.9545
104,466,116,448,21.6333
98,489,110,472,20.8087
91,512,101,495,19.7231
88,534,94,519,16.1555
1604761984,22020,86,542,1.60476e+09
estimation.x,estimation.y,valification.x,valification.y,diff
125,328,126,304,24.0208
123,351,125,328,23.0868
121,374,126,352,22.561
118,397,126,376,22.4722
114,420,124,400,22.3607
109,443,120,424,21.9545
104,466,116,448,21.6333
98,489,110,472,20.8087
91,512,101,495,19.7231
88,534,94,519,16.1555
875900416,21869,86,542,8.759e+08
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
estimation.x,estimation.y,valification.x,valification.y,diff
126,304,126,304,0
125,328,125,328,0
123,351,126,352,3.16228
121,374,126,376,5.38516
118,397,124,400,6.7082
114,420,120,424,7.2111
109,443,116,448,8.60233
104,466,110,472,8.48528
98,489,101,495,6.7082
91,512,94,519,7.61577
81,533,86,542,10.2956
