estimation.x,estimation.y,valification.x,valification.y,diff
122,402,122,402,0
120,426,120,427,1
115,449,117,452,3.60555
107,472,112,476,6.40312
97,494,104,499,8.60233
90,517,95,522,7.07107
82,539,85,545,6.7082
72,561,69,564,4.24264
61,582,53,584,8.24621
48,603,39,604,9.05539
34,623,30,616,8.06226
estimation.x,estimation.y,valification.x,valification.y,diff
122,402,122,402,0
120,426,120,427,1
115,449,117,452,3.60555
107,472,112,476,6.40312
97,494,104,499,8.60233
90,517,95,522,7.07107
82,539,85,545,6.7082
72,561,69,564,4.24264
61,582,53,584,8.24621
48,603,39,604,9.05539
34,623,30,616,8.06226
