estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,321,113,309,16.9706
124,333,122,318,15.1327
122,345,124,331,14.1421
120,357,122,344,13.1529
117,369,119,356,13.1529
114,381,116,368,13.1529
110,392,113,380,12.3693
106,403,108,392,11.1803
101,414,104,404,10.4403
96,425,98,416,9.21954
90,436,92,428,8.24621
84,446,86,439,7.28011
77,456,79,450,6.32456
70,466,72,461,5.38516
62,476,64,471,5.38516
54,485,56,481,4.47214
46,494,48,491,3.60555
37,503,39,501,2.82843
28,511,31,511,3
18,519,23,521,5.38516
