estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,314,131,306,10
124,319,126,307,12.1655
123,323,121,309,14.1421
122,327,116,309,18.9737
121,331,111,309,24.1661
120,335,116,309,26.3059
119,339,120,312,27.0185
118,343,122,317,26.3059
117,347,124,322,25.9615
116,351,119,324,27.1662
115,355,124,326,30.3645
114,359,124,331,29.7321
112,363,123,336,29.1548
110,367,122,341,28.6356
108,371,121,346,28.178
106,375,120,351,27.7849
104,379,119,356,27.4591
102,383,118,361,27.2029
100,387,117,366,27.0185
98,391,116,371,26.9072
96,395,114,376,26.1725
94,399,113,381,26.1725
92,403,111,386,25.4951
90,407,109,391,24.8395
88,411,107,396,24.2074
85,415,105,401,24.4131
82,419,103,406,24.6982
79,423,101,411,25.0599
76,427,98,416,24.5967
73,431,96,421,25.0799
70,435,94,426,25.632
67,439,91,430,25.632
64,443,89,435,26.2488
61,447,86,439,26.2488
58,451,83,444,25.9615
55,455,80,448,25.9615
52,459,78,453,26.6833
49,463,74,457,25.7099
45,466,71,462,26.3059
41,469,68,466,27.1662
37,472,65,470,28.0713
33,475,62,474,29.0172
29,478,59,478,30
25,481,55,482,30.0167
21,484,52,486,31.0644
17,487,49,490,32.1403
13,490,45,494,32.249
9,493,42,498,33.3766
5,496,38,502,33.541
1,499,35,506,34.7131
146,171,32,510,357.655
145,170,28,514,363.352
144,170,25,518,367.784
