estimation.x,estimation.y,valification.x,valification.y
190,316,190,316
191,346,194,346
191,376,201,375
190,406,220,398
188,436,221,428
185,466,218,458
181,496,214,488
176,526,207,517
172,556,197,545
165,585,170,558
