estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,229,117,219,14.8661
127,240,124,229,11.4018
125,251,124,241,10.0499
123,262,124,253,9.05539
120,273,122,265,8.24621
117,284,119,277,7.28011
113,295,116,289,6.7082
109,306,111,300,6.32456
104,317,106,311,6.32456
99,328,101,322,6.32456
93,338,96,333,5.83095
87,348,89,344,4.47214
80,358,82,355,3.60555
73,368,75,366,2.82843
66,377,67,376,1.41421
58,386,59,386,1
50,395,51,395,1
41,403,43,404,2.23607
32,411,35,414,4.24264
23,419,27,424,6.40312
