estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,222,137,215,11.4018
127,226,132,216,11.1803
126,230,127,216,14.0357
125,234,123,219,15.1327
124,238,118,219,19.9249
123,242,113,219,25.0799
122,246,118,221,25.318
121,250,122,224,26.0192
120,254,124,229,25.318
119,258,126,234,25
118,262,126,239,24.3516
117,266,122,242,24.5153
115,270,126,245,27.313
113,274,125,250,26.8328
111,278,124,255,26.4197
109,282,123,260,26.0768
107,286,122,265,25.807
105,290,120,270,25
103,294,120,275,25.4951
101,298,118,280,24.7588
99,302,116,285,24.0416
97,306,115,290,24.0832
95,310,113,295,23.4307
93,314,111,300,22.8035
91,318,108,305,21.4009
88,322,107,310,22.4722
85,326,104,315,21.9545
82,330,102,320,22.3607
79,334,100,325,22.8473
76,338,98,330,23.4094
73,342,95,334,23.4094
70,346,92,339,23.0868
67,350,89,344,22.8035
64,354,86,349,22.561
61,358,83,354,22.3607
58,362,80,358,22.3607
55,365,77,362,22.2036
52,368,74,367,22.0227
49,371,71,371,22
45,374,68,375,23.0217
41,377,64,379,23.0868
37,380,61,383,24.1868
33,383,58,387,25.318
29,386,54,391,25.4951
25,389,51,395,26.6833
21,392,48,399,27.8927
17,395,44,403,28.1603
13,398,41,407,29.4109
9,401,38,411,30.6757
5,404,34,415,31.0161
0,0,31,420,421.142
0,0,27,424,424.859
