estimation.x,estimation.y,valification.x,valification.y,diff
128,219,128,219,0
127,242,126,243,1.41421
124,265,121,266,3.16228
119,287,114,289,5.38516
112,309,105,311,7.28011
103,330,95,332,8.24621
92,350,82,352,10.198
79,369,68,371,11.1803
65,387,53,389,12.1655
49,404,38,407,11.4018
32,419,26,423,7.2111
estimation.x,estimation.y,valification.x,valification.y,diff
128,219,128,219,0
127,242,126,243,1.41421
124,265,121,266,3.16228
119,287,114,289,5.38516
112,309,105,311,7.28011
103,330,95,332,8.24621
92,350,82,352,10.198
79,369,68,371,11.1803
65,387,53,389,12.1655
49,404,38,407,11.4018
32,419,26,423,7.2111
