estimation.x,estimation.y,valification.x,valification.y
183,341,183,341
182,368,186,368
180,395,191,394
177,422,188,421
174,449,182,447
170,476,176,473
165,503,188,497
160,529,178,522
149,554,176,549
133,577,195,530
114,596,201,556
-1868974720,21971,180,574
-1868974720,21971,164,552
68,21971,138,558
-1868974336,21971,151,534
-1868974336,21971,136,556
-1868974336,21971,122,579
estimation.x,estimation.y,valification.x,valification.y
183,341,183,341
182,371,186,371
180,401,196,399
177,431,187,427
173,461,186,457
168,491,173,484
163,520,185,511
156,549,166,534
141,576,175,562
120,598,195,539
-96364352,22057,198,569
-96364160,22057,168,569
-96364160,22057,140,560
68,22057,152,533
-96363776,22057,135,557
-96363776,22057,120,583
