estimation.x,estimation.y,valification.x,valification.y,diff
128,220,128,220,0
132,243,127,244,5.09902
134,266,128,268,6.32456
134,289,125,292,9.48683
132,312,120,316,12.6491
128,335,115,339,13.6015
122,357,106,362,16.7631
114,379,97,384,17.72
104,400,86,406,18.9737
92,420,76,428,17.8885
79,439,70,439,9
estimation.x,estimation.y,valification.x,valification.y,diff
128,220,128,220,0
132,243,127,244,5.09902
134,266,128,268,6.32456
134,289,125,292,9.48683
132,312,120,316,12.6491
128,335,115,339,13.6015
122,357,106,362,16.7631
114,379,97,384,17.72
104,400,86,406,18.9737
92,420,76,428,17.8885
79,439,70,439,9
estimation.x,estimation.y,valification.x,valification.y,diff
128,220,128,220,0
132,243,127,244,5.09902
134,266,128,268,6.32456
134,289,125,292,9.48683
132,312,120,316,12.6491
128,335,115,339,13.6015
122,357,106,362,16.7631
114,379,97,384,17.72
104,400,86,406,18.9737
92,420,76,428,17.8885
79,439,70,439,9
