estimation.x,estimation.y,valification.x,valification.y
189,370,189,370
189,400,245,364
188,430,256,392
186,460,245,420
182,490,253,449
177,520,234,473
172,550,229,503
164,579,229,533
153,607,220,562
139,634,224,592
-2119852864,21978,196,602
-2119852672,21978,190,573
-2119852672,21978,172,598
68,21978,166,569
-2119852288,21978,148,593
estimation.x,estimation.y,valification.x,valification.y
196,370,196,370
200,400,200,400
202,430,208,429
202,460,208,459
200,490,206,489
196,520,211,459
189,550,229,483
181,579,225,513
177,609,221,543
170,638,215,573
510709952,21960,204,601
510710144,21960,191,574
510710144,21960,195,544
68,21960,199,514
510710528,21960,201,484
510710528,21960,192,513
510710528,21960,186,543
81,0,182,573
0,0,182,603
0,0,172,632
