estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
estimation.x,estimation.y,valification.x,valification.y,diff
128,218,128,218,0
131,240,127,242,4.47214
132,263,128,266,5
131,286,126,290,6.40312
128,309,121,313,8.06226
123,331,116,336,8.60233
117,353,108,358,10.2956
109,374,100,380,10.8167
99,395,89,401,11.6619
87,415,78,422,11.4018
73,434,70,439,5.83095
