estimation.x,estimation.y,valification.x,valification.y
190,316,190,316
191,346,194,346
191,376,201,375
190,406,220,398
188,436,221,428
185,466,218,458
181,496,214,488
176,526,207,517
172,556,197,545
165,585,170,558
estimation.x,estimation.y,valification.x,valification.y
195,313,195,313
206,341,239,312
214,370,258,336
219,400,260,367
220,431,269,397
218,462,258,426
213,492,264,456
205,522,254,485
193,551,259,515
179,578,231,503
0,0,230,472
0,0,234,442
845350145,32667,235,411
-1213596360,21900,234,380
0,0,212,401
0,0,211,432
176,0,213,401
497,0,232,425
-1214132384,21900,229,455
845409072,32667,228,486
0,0,224,516
-1214130720,21900,214,545
845409072,32667,200,517
0,0,213,489
-1214130912,21900,200,517
845409072,32667,192,547
0,0,197,517
-1214131104,21900,180,543
