estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,314,132,306,10.6301
124,319,127,307,12.3693
123,324,122,308,16.0312
122,329,117,309,20.6155
121,334,112,309,26.5707
120,339,117,310,29.1548
119,343,121,313,30.0666
118,347,123,318,29.4279
117,351,124,323,28.8617
116,355,124,328,28.1603
115,359,124,333,27.5136
114,363,123,338,26.5707
112,367,122,343,26
110,371,121,348,25.4951
108,375,120,353,25.0599
106,379,118,358,24.1868
104,383,118,363,24.4131
102,387,116,368,23.6008
100,391,115,373,23.4307
98,395,114,378,23.3452
96,399,112,383,22.6274
94,403,110,388,21.9317
92,407,108,393,21.2603
90,411,106,398,20.6155
87,415,104,403,20.8087
84,419,102,408,21.095
81,423,100,413,21.4709
78,427,98,418,21.9317
75,431,95,423,21.5407
72,435,93,428,22.1359
69,439,90,432,22.1359
66,443,88,437,22.8035
63,447,85,441,22.8035
60,451,82,445,22.8035
57,455,79,450,22.561
54,459,76,454,22.561
51,463,73,459,22.3607
48,467,70,463,22.3607
44,470,67,468,23.0868
40,473,63,472,23.0217
36,476,60,477,24.0208
32,479,56,481,24.0832
28,482,53,485,25.1794
24,485,49,489,25.318
20,488,46,493,26.4764
16,491,43,497,27.6586
12,494,39,500,27.6586
8,497,36,505,29.1204
4,500,33,509,30.3645
0,503,29,513,30.6757
-733334704,21932,26,517,7.33335e+08
-733391344,21932,23,521,7.33391e+08
