estimation.x,estimation.y,valification.x,valification.y,diff
126,309,126,309,0
125,321,113,309,16.9706
124,333,123,317,16.0312
122,345,124,330,15.1327
120,357,122,343,14.1421
117,369,119,355,14.1421
114,381,116,367,14.1421
110,392,113,379,13.3417
106,403,109,391,12.3693
101,414,104,403,11.4018
96,425,99,415,10.4403
90,436,93,427,9.48683
84,446,87,438,8.544
77,456,80,449,7.61577
70,466,72,460,6.32456
62,476,64,471,5.38516
54,485,56,481,4.47214
46,494,48,491,3.60555
37,503,39,500,3.60555
28,511,31,511,3
18,519,23,521,5.38516
