estimation.x,estimation.y,valification.x,valification.y,diff
129,218,129,218,0
128,230,117,219,15.5563
127,241,124,229,12.3693
125,252,123,241,11.1803
123,263,124,253,10.0499
120,274,122,265,9.21954
117,285,119,277,8.24621
113,296,115,289,7.28011
109,307,110,301,6.08276
104,318,106,313,5.38516
99,329,101,324,5.38516
93,339,95,335,4.47214
87,349,88,345,4.12311
80,359,81,356,3.16228
73,369,74,367,2.23607
66,378,66,377,1
58,387,58,386,1
50,396,50,395,1
41,404,42,405,1.41421
32,412,34,415,3.60555
23,420,27,425,6.40312
