estimation.x,estimation.y,valification.x,valification.y,diff
123,406,123,406,0
122,410,116,401,10.8167
121,414,119,405,9.21954
120,418,121,410,8.06226
119,422,121,415,7.28011
118,426,121,420,6.7082
117,430,120,425,5.83095
116,434,120,430,5.65685
115,438,119,435,5
114,442,118,440,4.47214
113,446,117,445,4.12311
112,450,116,450,4
111,454,115,455,4.12311
109,458,114,460,5.38516
107,462,112,465,5.83095
105,466,111,470,7.2111
103,470,110,475,8.60233
101,474,108,480,9.21954
99,478,106,485,9.89949
97,482,104,490,10.6301
95,486,102,495,11.4018
93,490,100,500,12.2066
91,494,98,505,13.0384
89,498,96,510,13.8924
87,502,94,515,14.7648
85,506,92,520,15.6525
82,510,89,525,16.5529
79,514,86,530,17.4642
76,518,83,535,18.3848
73,522,80,539,18.3848
70,526,77,544,19.3132
67,530,74,549,20.2485
64,534,71,554,21.1896
61,538,68,558,21.1896
58,542,65,562,21.1896
55,546,62,566,21.1896
52,550,59,570,21.1896
49,554,56,574,21.1896
46,557,53,578,22.1359
42,560,49,582,23.0868
38,563,46,586,24.3516
34,566,42,590,25.2982
30,569,39,594,26.5707
26,572,36,598,27.8568
22,575,32,602,28.7924
18,578,28,606,29.7321
14,581,25,610,31.0161
10,584,22,614,32.311
6,587,20,616,32.2025
