estimation.x,estimation.y,valification.x,valification.y,diff
123,400,123,400,0
121,424,120,425,1.41421
117,448,117,450,2
111,471,112,475,4.12311
103,494,104,499,5.09902
92,516,95,522,6.7082
85,539,85,545,6
76,562,69,564,7.28011
65,584,53,584,12
53,605,39,605,14
39,625,30,616,12.7279
estimation.x,estimation.y,valification.x,valification.y,diff
123,400,123,400,0
121,424,120,425,1.41421
117,448,117,450,2
111,471,112,475,4.12311
103,494,104,499,5.09902
92,516,95,522,6.7082
85,539,85,545,6
76,562,69,564,7.28011
65,584,53,584,12
53,605,39,605,14
39,625,30,616,12.7279
