estimation.x,estimation.y,valification.x,valification.y,diff
122,400,122,400,0
121,423,120,424,1.41421
118,446,118,448,2
113,469,112,472,3.16228
107,491,105,495,4.47214
99,513,100,519,6.08276
93,536,85,538,8.24621
85,558,74,560,11.1803
75,579,60,580,15.0333
63,599,43,598,20.025
49,618,32,614,17.4642
estimation.x,estimation.y,valification.x,valification.y,diff
122,400,122,400,0
121,423,120,424,1.41421
118,446,118,448,2
113,469,112,472,3.16228
107,491,105,495,4.47214
99,513,100,519,6.08276
93,536,85,538,8.24621
85,558,74,560,11.1803
75,579,60,580,15.0333
63,599,43,598,20.025
49,618,32,614,17.4642
estimation.x,estimation.y,valification.x,valification.y,diff
122,400,122,400,0
121,423,120,424,1.41421
118,446,118,448,2
113,469,112,472,3.16228
107,491,105,495,4.47214
99,513,100,519,6.08276
93,536,85,538,8.24621
85,558,74,560,11.1803
75,579,60,580,15.0333
63,599,43,598,20.025
49,618,32,614,17.4642
